@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
260,'2021/11/03 19:40:30:644',11,0.059224,0,0,1
261,'2021/11/03 19:40:30:748',11,0.061462,0,0,1
262,'2021/11/03 19:40:30:853',11,0.057475,0,0,1
263,'2021/11/03 19:40:30:958',11,0.0613,0,0,1
264,'2021/11/03 19:40:31:063',11,0.057475,0,0,1
265,'2021/11/03 19:40:31:168',11,0.058675,0,0,1
266,'2021/11/03 19:40:31:273',11,0.061503,0,0,1
267,'2021/11/03 19:40:31:378',11,0.057048,0,0,1
268,'2021/11/03 19:40:31:483',11,0.059631,0,0,1
269,'2021/11/03 19:40:31:588',11,0.059428,0,0,1
270,'2021/11/03 19:40:31:694',11,0.057638,0,0,1
271,'2021/11/03 19:40:31:799',11,0.060628,0,0,1
272,'2021/11/03 19:40:31:903',11,0.057719,0,0,1
273,'2021/11/03 19:40:32:008',11,0.058919,0,0,1
274,'2021/11/03 19:40:32:099',11,0.059021,0,0,1
275,'2021/11/03 19:40:32:203',11,0.057353,0,0,1
276,'2021/11/03 19:40:32:308',11,0.058126,0,0,1
277,'2021/11/03 19:40:32:414',11,0.058553,0,0,1
278,'2021/11/03 19:40:32:518',11,0.058167,0,0,1
279,'2021/11/03 19:40:32:623',11,0.0578,0,0,1
280,'2021/11/03 19:40:32:728',11,0.057495,0,0,1
281,'2021/11/03 19:40:32:834',11,0.058187,0,0,1
282,'2021/11/03 19:40:32:938',11,0.057821,0,0,1
283,'2021/11/03 19:40:33:043',11,0.056702,0,0,1
284,'2021/11/03 19:40:33:149',11,0.058533,0,0,1
285,'2021/11/03 19:40:33:253',11,0.056437,0,0,1
286,'2021/11/03 19:40:33:359',11,0.057373,0,0,1
287,'2021/11/03 19:40:33:464',11,0.057719,0,0,1
288,'2021/11/03 19:40:33:568',11,0.056539,0,0,1
289,'2021/11/03 19:40:33:658',11,0.057414,0,0,1
290,'2021/11/03 19:40:33:764',11,0.057109,0,0,1
291,'2021/11/03 19:40:33:868',11,0.056783,0,0,1
292,'2021/11/03 19:40:33:973',11,0.057699,0,0,1
293,'2021/11/03 19:40:34:078',11,0.055664,0,0,1
294,'2021/11/03 19:40:34:183',11,0.056702,0,0,1
295,'2021/11/03 19:40:34:288',11,0.056498,0,0,1
296,'2021/11/03 19:40:34:393',11,0.056885,0,0,1
297,'2021/11/03 19:40:34:499',11,0.056966,0,0,1
298,'2021/11/03 19:40:34:603',11,0.057129,0,0,1
299,'2021/11/03 19:40:34:708',11,0.056112,0,0,1
300,'2021/11/03 19:40:34:814',11,0.057251,0,0,1
301,'2021/11/03 19:40:34:918',11,0.056091,0,0,1
302,'2021/11/03 19:40:35:023',11,0.056498,0,0,1
303,'2021/11/03 19:40:35:128',11,0.056051,0,0,1
304,'2021/11/03 19:40:35:218',11,0.055929,0,0,1
305,'2021/11/03 19:40:35:323',11,0.057129,0,0,1
306,'2021/11/03 19:40:35:428',11,0.055094,0,0,1
307,'2021/11/03 19:40:35:534',11,0.055562,0,0,1
308,'2021/11/03 19:40:35:638',11,0.056173,0,0,1
