@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
168,'2021/11/08 20:50:49:718',4,0.653442,0.508667,0.510681,0.973364,0.00616,0.689424,0.352729,0.797177
169,'2021/11/08 20:50:50:018',4,0.491882,0.672668,0.765442,0.973364,0.00616,0.689424,0.352729,0.797177
170,'2021/11/08 20:50:50:333',4,0.827087,0.860962,0.911072,0.973364,0.00616,0.689424,0.352729,0.797177
171,'2021/11/08 20:50:53:768',5,-0.31311,-0.519287,-0.408997,0.70161,0.847994,0.895697,0.056924,0.325388
172,'2021/11/08 20:50:54:083',5,-0.520203,-0.419189,-0.51355,0.70161,0.847994,0.895697,0.056924,0.325388
173,'2021/11/08 20:50:54:398',5,-0.494812,-0.530762,-0.621826,0.70161,0.847994,0.895697,0.056924,0.325388
174,'2021/11/08 20:50:54:698',5,-0.574524,-0.561584,-0.773682,0.70161,0.847994,0.895697,0.056924,0.325388
175,'2021/11/08 20:50:55:013',5,-0.713379,-0.790771,-0.679443,0.70161,0.847994,0.895697,0.056924,0.325388
176,'2021/11/08 20:50:55:329',5,-0.655762,-0.66748,-0.772095,0.70161,0.847994,0.895697,0.056924,0.325388
177,'2021/11/08 20:50:55:643',5,-0.559814,-0.483704,-0.81604,0.70161,0.847994,0.895697,0.056924,0.325388
178,'2021/11/08 20:50:55:958',5,-0.903564,-0.925476,-0.70874,0.70161,0.847994,0.895697,0.056924,0.325388
179,'2021/11/08 20:50:56:258',5,-0.732971,-0.565613,-0.627197,0.70161,0.847994,0.895697,0.056924,0.325388
180,'2021/11/08 20:50:56:573',5,-0.575317,-0.618164,-0.690002,0.70161,0.847994,0.895697,0.056924,0.325388
181,'2021/11/08 20:50:56:888',5,-0.627869,-0.652039,-0.627563,0.70161,0.847994,0.895697,0.056924,0.325388
182,'2021/11/08 20:50:57:203',5,-0.620117,-0.627808,-0.640686,0.70161,0.847994,0.895697,0.056924,0.325388
183,'2021/11/08 20:50:57:518',5,-0.667419,-0.603882,-0.75,0.70161,0.847994,0.895697,0.056924,0.325388
